county,state,pop
McCreary,Kentucky,17635
McLean,Kentucky,9331
Madison,Kentucky,89700
Magoffin,Kentucky,12666
Marion,Kentucky,19232
Marshall,Kentucky,31166
Martin,Kentucky,11919
Mason,Kentucky,17153
Meade,Kentucky,28326
Menifee,Kentucky,6405
Mercer,Kentucky,21516
Metcalfe,Kentucky,10004
Monroe,Kentucky,10634
Montgomery,Kentucky,27759
Morgan,Kentucky,13285
Muhlenberg,Kentucky,31081
Nelson,Kentucky,45388
Nicholas,Kentucky,7100
Ohio,Kentucky,24071
Oldham,Kentucky,65374
Owen,Kentucky,10741
Owsley,Kentucky,4463
Pendleton,Kentucky,14520
Perry,Kentucky,26917
Pike,Kentucky,60483
Powell,Kentucky,12321
Pulaski,Kentucky,64145
Robertson,Kentucky,2143
Rockcastle,Kentucky,16827
Rowan,Kentucky,24499
Russell,Kentucky,17760
Scott,Kentucky,53517
Shelby,Kentucky,46786
Simpson,Kentucky,18063
Spencer,Kentucky,18246
Taylor,Kentucky,25500
Todd,Kentucky,12350
Trigg,Kentucky,14344
Trimble,Kentucky,8637
Union,Kentucky,14802
Warren,Kentucky,126427
Washington,Kentucky,12019
Wayne,Kentucky,20609
Webster,Kentucky,13155
Whitley,Kentucky,36089
Wolfe,Kentucky,7223
Woodford,Kentucky,26097
Acadia Parish,Louisiana,62568
Allen Parish,Louisiana,25661
Ascension Parish,Louisiana,121176
Assumption Parish,Louisiana,22714
Avoyelles Parish,Louisiana,40882
Beauregard Parish,Louisiana,36769
Bienville Parish,Louisiana,13668
Bossier Parish,Louisiana,126131
Caddo Parish,Louisiana,248361
Calcasieu Parish,Louisiana,200182
Caldwell Parish,Louisiana,9996
Cameron Parish,Louisiana,6868
Catahoula Parish,Louisiana,9893
Claiborne Parish,Louisiana,16153
Concordia Parish,Louisiana,20021
De Soto Parish,Louisiana,27216
East Baton Rouge Parish,Louisiana,444094
East Carroll Parish,Louisiana,7225
East Feliciana Parish,Louisiana,19499
Evangeline Parish,Louisiana,33636
Franklin Parish,Louisiana,20322
Grant Parish,Louisiana,22348
Iberia Parish,Louisiana,72691
Iberville Parish,Louisiana,32956
Jackson Parish,Louisiana,15926
Jefferson Parish,Louisiana,435300
Jefferson Davis Parish,Louisiana,31467
Lafayette Parish,Louisiana,240091
Lafourche Parish,Louisiana,98214
Lincoln Parish,Louisiana,47356
Livingston Parish,Louisiana,138111
Madison Parish,Louisiana,11472
Morehouse Parish,Louisiana,25992
Natchitoches Parish,Louisiana,38963
Orleans Parish,Louisiana,389648
Ouachita Parish,Louisiana,156075
Plaquemines Parish,Louisiana,23373
Pointe Coupee Parish,Louisiana,22158
Rapides Parish,Louisiana,131546
Red River Parish,Louisiana,8618
Richland Parish,Louisiana,20474
Sabine Parish,Louisiana,24088
St. Bernard Parish,Louisiana,45694
St. Charles Parish,Louisiana,52724
St. Helena Parish,Louisiana,10411
St. James Parish,Louisiana,21357
St. John the Baptist Parish,Louisiana,43446
St. Landry Parish,Louisiana,83449
St. Martin Parish,Louisiana,53752
St. Mary Parish,Louisiana,51734
St. Tammany Parish,Louisiana,252093
Tangipahoa Parish,Louisiana,130504
Tensas Parish,Louisiana,4666
Terrebonne Parish,Louisiana,112587
Union Parish,Louisiana,22475
Vermilion Parish,Louisiana,59867
Vernon Parish,Louisiana,51007
Washington Parish,Louisiana,46457
Webster Parish,Louisiana,39631
West Baton Rouge Parish,Louisiana,25860
West Carroll Parish,Louisiana,11180
West Feliciana Parish,Louisiana,15377
Winn Parish,Louisiana,14494
Androscoggin,Maine,107444
Aroostook,Maine,68269
Cumberland,Maine,290944
Franklin,Maine,30019
Hancock,Maine,54541
Kennebec,Maine,121545
Knox,Maine,39823
Lincoln,Maine,34067
Oxford,Maine,57325
Penobscot,Maine,151748
Piscataquis,Maine,16887
Sagadahoc,Maine,35277
Somerset,Maine,50710
Waldo,Maine,39418
Washington,Maine,31694
York,Maine,203102
Allegany,Maryland,71977
Anne Arundel,Maryland,567696
Baltimore,Maryland,827625
Calvert,Maryland,91082
Caroline,Maryland,32875
Carroll,Maryland,167522
Cecil,Maryland,102517
Charles,Maryland,157671
Dorchester,Maryland,32261
Frederick,Maryland,248472
Garrett,Maryland,29376
Harford,Maryland,251025
Howard,Maryland,315327
Kent,Maryland,19593
Montgomery,Maryland,1040133
Prince George's,Maryland,906202
Queen Anne's,Maryland,49355
St. Mary's,Maryland,111531
Somerset,Maryland,25737
Talbot,Maryland,37211
Washington,Maryland,149811
Wicomico,Maryland,102172
Worcester,Maryland,51564
Baltimore city,Maryland,614700
Barnstable,Massachusetts,213690
Berkshire,Massachusetts,127328
Bristol,Massachusetts,558905
Dukes,Massachusetts,17313
Essex,Massachusetts,781024
Franklin,Massachusetts,70935
Hampden,Massachusetts,469116
Hampshire,Massachusetts,161159
Middlesex,Massachusetts,1595192
Nantucket,Massachusetts,11101
Norfolk,Massachusetts,698249
Plymouth,Massachusetts,512135
Suffolk,Massachusetts,791766
Worcester,Massachusetts,822280
Alcona,Michigan,10364
Alger,Michigan,9194
Allegan,Michigan,115250
Alpena,Michigan,28612
Antrim,Michigan,23177
Arenac,Michigan,15165
Baraga,Michigan,8507
Barry,Michigan,60057
Bay,Michigan,104786
Benzie,Michigan,17552
Berrien,Michigan,154807
Branch,Michigan,43584
Calhoun,Michigan,134473
Cass,Michigan,51460
Charlevoix,Michigan,26219
Cheboygan,Michigan,25458
Chippewa,Michigan,37834
Clare,Michigan,30616
Clinton,Michigan,77896
Crawford,Michigan,13836
Delta,Michigan,36190
Dickinson,Michigan,25570
Eaton,Michigan,109155
Emmet,Michigan,33039
Genesee,Michigan,409361
Gladwin,Michigan,25289
Gogebic,Michigan,15414
Grand Traverse,Michigan,91746
Gratiot,Michigan,41067
Hillsdale,Michigan,45830
Houghton,Michigan,36360
Huron,Michigan,31543
Ingham,Michigan,289564
Ionia,Michigan,64176
Iosco,Michigan,25247
Iron,Michigan,11212
Isabella,Michigan,70775
Jackson,Michigan,158913
Kalamazoo,Michigan,261573
Kalkaska,Michigan,17463
Kent,Michigan,643140
Keweenaw,Michigan,2130
Lake,Michigan,11763
Lapeer,Michigan,88202
Leelanau,Michigan,21639
Lenawee,Michigan,98474
Livingston,Michigan,188482
Luce,Michigan,6364
Mackinac,Michigan,10817
Macomb,Michigan,868704
Manistee,Michigan,24444
Marquette,Michigan,66939
Mason,Michigan,28884
Mecosta,Michigan,43264
Menominee,Michigan,23234
Midland,Michigan,83389
Missaukee,Michigan,15006
Monroe,Michigan,149699
Montcalm,Michigan,63209
Montmorency,Michigan,9261
Muskegon,Michigan,173043
Newaygo,Michigan,48142
Oakland,Michigan,1250843
Oceana,Michigan,26417
Ogemaw,Michigan,20928
Ontonagon,Michigan,5968
Osceola,Michigan,23232
Oscoda,Michigan,8277
Otsego,Michigan,24397
Ottawa,Michigan,284034
Presque Isle,Michigan,12797
Roscommon,Michigan,23877
Saginaw,Michigan,192778
St. Clair,Michigan,159566
St. Joseph,Michigan,60897
Sanilac,Michigan,41376
Schoolcraft,Michigan,8069
Shiawassee,Michigan,68493
Tuscola,Michigan,53250
Van Buren,Michigan,75272
Washtenaw,Michigan,365961
Wayne,Michigan,1761382
Wexford,Michigan,33111
Aitkin,Minnesota,15834
Anoka,Minnesota,347431
Becker,Minnesota,33773
Beltrami,Minnesota,46117
Benton,Minnesota,39779
Big Stone,Minnesota,5016
Blue Earth,Minnesota,66322
Brown,Minnesota,25211
Carlton,Minnesota,35540
Carver,Minnesota,100416
Cass,Minnesota,29022
Chippewa,Minnesota,12010
Chisago,Minnesota,54727
Clay,Minnesota,62801
Clearwater,Minnesota,8812
Cook,Minnesota,5311
Cottonwood,Minnesota,11372
Crow Wing,Minnesota,63855
Dakota,Minnesota,418201
Dodge,Minnesota,20582
Douglas,Minnesota,37203
Faribault,Minnesota,13896
Fillmore,Minnesota,20888
Freeborn,Minnesota,30526
Goodhue,Minnesota,46217
Grant,Minnesota,5938
Hennepin,Minnesota,1235478
Houston,Minnesota,18663
Hubbard,Minnesota,20862
Isanti,Minnesota,38974
Itasca,Minnesota,45203
Jackson,Minnesota,10047
Kanabec,Minnesota,16004
Kandiyohi,Minnesota,42658
Kittson,Minnesota,4337
Koochiching,Minnesota,12644
Lac qui Parle,Minnesota,6773
Lake,Minnesota,10569
Lake of the Woods,Minnesota,3809
Le Sueur,Minnesota,27983
Lincoln,Minnesota,5707
Lyon,Minnesota,25839
McLeod,Minnesota,35825
Mahnomen,Minnesota,5506
Marshall,Minnesota,9392
Martin,Minnesota,19964
Meeker,Minnesota,23079
Mille Lacs,Minnesota,25728
Morrison,Minnesota,32949
Mower,Minnesota,39602
Murray,Minnesota,8353
Nicollet,Minnesota,33783
Nobles,Minnesota,21839
Norman,Minnesota,6559
Olmsted,Minnesota,153065
Otter Tail,Minnesota,57992
Pennington,Minnesota,14184
Pine,Minnesota,29129
Pipestone,Minnesota,9185
Polk,Minnesota,31591
Pope,Minnesota,10980
Ramsey,Minnesota,541493
Red Lake,Minnesota,4008
Redwood,Minnesota,15331
Renville,Minnesota,14721
Rice,Minnesota,65765
Rock,Minnesota,9413
Roseau,Minnesota,15462
St. Louis,Minnesota,200080
Scott,Minnesota,143372
Sherburne,Minnesota,93231
Sibley,Minnesota,14912
Stearns,Minnesota,156819
Steele,Minnesota,36676
Stevens,Minnesota,9784
Swift,Minnesota,9411
Todd,Minnesota,24440
Traverse,Minnesota,3337
Wabasha,Minnesota,21500
Wadena,Minnesota,13646
Waseca,Minnesota,18809
Washington,Minnesota,253317
Watonwan,Minnesota,10973
Wilkin,Minnesota,6343
Winona,Minnesota,50847
Wright,Minnesota,132745
Yellow Medicine,Minnesota,9868
Adams,Mississippi,31547
Alcorn,Mississippi,37180
Amite,Mississippi,12468
Attala,Mississippi,18581
Benton,Mississippi,8253
Bolivar,Mississippi,32592
Calhoun,Mississippi,14571
Carroll,Mississippi,10129
Chickasaw,Mississippi,17279
Choctaw,Mississippi,8321
Claiborne,Mississippi,9120
Clarke,Mississippi,15928
Clay,Mississippi,19808
Coahoma,Mississippi,23802
Copiah,Mississippi,28721
Covington,Mississippi,19091
DeSoto,Mississippi,176132
Forrest,Mississippi,75517
Franklin,Mississippi,7757
George,Mississippi,23710
Greene,Mississippi,13714
Grenada,Mississippi,21278
Hancock,Mississippi,46653
Harrison,Mississippi,202626
Hinds,Mississippi,241774
Holmes,Mississippi,18075
Humphreys,Mississippi,8539
Issaquena,Mississippi,1328
Itawamba,Mississippi,23480
Jackson,Mississippi,142014
Jasper,Mississippi,16529
Jefferson,Mississippi,7346
Jefferson Davis,Mississippi,11495
Jones,Mississippi,68454
Kemper,Mississippi,10107
Lafayette,Mississippi,53459
Lamar,Mississippi,61223
Lauderdale,Mississippi,77323
Lawrence,Mississippi,12630
Leake,Mississippi,22870
Lee,Mississippi,84915
Leflore,Mississippi,29804
Lincoln,Mississippi,34432
Lowndes,Mississippi,59437
Madison,Mississippi,103498
Marion,Mississippi,25202
Marshall,Mississippi,35787
Monroe,Mississippi,35840
Montgomery,Mississippi,10198
Neshoba,Mississippi,29376
Newton,Mississippi,21524
Noxubee,Mississippi,10828
Oktibbeha,Mississippi,49481
Panola,Mississippi,34243
Pearl River,Mississippi,55149
Perry,Mississippi,12028
Pike,Mississippi,39737
Pontotoc,Mississippi,31315
Prentiss,Mississippi,25360
Quitman,Mississippi,7372
Rankin,Mississippi,151240
Scott,Mississippi,28415
Sharkey,Mississippi,4511
Simpson,Mississippi,27073
Smith,Mississippi,16063
Stone,Mississippi,18375
Sunflower,Mississippi,26532
Tallahatchie,Mississippi,14361
Tate,Mississippi,28493
Tippah,Mississippi,21990
Tishomingo,Mississippi,19478
Tunica,Mississippi,10170
Union,Mississippi,28356
Walthall,Mississippi,14601
Warren,Mississippi,47075
Washington,Mississippi,47086
Wayne,Mississippi,20422
Webster,Mississippi,9828
Wilkinson,Mississippi,8990
Winston,Mississippi,18358
Yalobusha,Mississippi,12421
Yazoo,Mississippi,27974
Adair,Missouri,25325
Andrew,Missouri,17403
Atchison,Missouri,5270
Audrain,Missouri,25735
Barry,Missouri,35493
Barton,Missouri,11850
Bates,Missouri,16374
Benton,Missouri,18989
Bollinger,Missouri,12281
Boone,Missouri,176515
Buchanan,Missouri,89076
Butler,Missouri,42733
Caldwell,Missouri,9049
Callaway,Missouri,44840
Camden,Missouri,45096
Cape Girardeau,Missouri,78324
Carroll,Missouri,8843
Carter,Missouri,6197
Cass,Missouri,102678
Cedar,Missouri,13938
Chariton,Missouri,7546
Christian,Missouri,84275
Clark,Missouri,6800
Clay,Missouri,239164
Clinton,Missouri,20475
Cole,Missouri,76740
Cooper,Missouri,17622
Crawford,Missouri,24280
Dade,Missouri,7590
Dallas,Missouri,16499
Daviess,Missouri,8302
DeKalb,Missouri,12564
Dent,Missouri,15504
Douglas,Missouri,13374
Dunklin,Missouri,30428
Franklin,Missouri,102781
Gasconade,Missouri,14746
Gentry,Missouri,6665
Greene,Missouri,288429
Grundy,Missouri,10039
Harrison,Missouri,8554
Henry,Missouri,21765
Hickory,Missouri,9368
Holt,Missouri,4456
Howard,Missouri,10113
Howell,Missouri,40102
Iron,Missouri,10221
Jackson,Missouri,692003
Jasper,Missouri,119238
Jefferson,Missouri,223302
Johnson,Missouri,53689
Knox,Missouri,3951
Laclede,Missouri,35507
Lafayette,Missouri,32589
Lawrence,Missouri,38133
Lewis,Missouri,10027
Lincoln,Missouri,55563
Linn,Missouri,12186
Livingston,Missouri,15076
McDonald,Missouri,22827
Macon,Missouri,15254
Madison,Missouri,12205
Maries,Missouri,8884
Marion,Missouri,28672
Mercer,Missouri,3664
Miller,Missouri,25049
Mississippi,Missouri,13748
Moniteau,Missouri,15958
Monroe,Missouri,8654
Montgomery,Missouri,11545
Morgan,Missouri,20137
New Madrid,Missouri,17811
Newton,Missouri,58202
Nodaway,Missouri,22547
Oregon,Missouri,10699
Osage,Missouri,13619
Ozark,Missouri,9236
Pemiscot,Missouri,17031
Perry,Missouri,19146
Pettis,Missouri,42371
Phelps,Missouri,44789
Pike,Missouri,18489
Platte,Missouri,98824
Polk,Missouri,31549
Pulaski,Missouri,52591
Putnam,Missouri,4815
Ralls,Missouri,10217
Randolph,Missouri,24945
Ray,Missouri,22825
Reynolds,Missouri,6315
Ripley,Missouri,13693
St. Charles,Missouri,389985
St. Clair,Missouri,9383
Ste. Genevieve,Missouri,17871
St. Francois,Missouri,66342
St. Louis,Missouri,998684
Saline,Missouri,23102
Schuyler,Missouri,4502
Scotland,Missouri,4898
Scott,Missouri,38729
Shannon,Missouri,8246
Shelby,Missouri,6061
Stoddard,Missouri,29512
Stone,Missouri,31527
Sullivan,Missouri,6317
Taney,Missouri,54720
Texas,Missouri,25671
Vernon,Missouri,20691
Warren,Missouri,33908
Washington,Missouri,24931
Wayne,Missouri,13308
Webster,Missouri,38082
Worth,Missouri,2040
Wright,Missouri,18293
St. Louis city,Missouri,311273
Beaverhead,Montana,9393
Big Horn,Montana,13376
Blaine,Montana,6727
Broadwater,Montana,5834
Carbon,Montana,10546
Carter,Montana,1318
Cascade,Montana,81746
Chouteau,Montana,5789
Custer,Montana,11845
Daniels,Montana,1753
Dawson,Montana,9191
Deer Lodge,Montana,9100
Fallon,Montana,2838
Fergus,Montana,11273
Flathead,Montana,98082
Gallatin,Montana,104729
Garfield,Montana,1141
Glacier,Montana,13699
Golden Valley,Montana,724
Granite,Montana,3269
Hill,Montana,16439
Jefferson,Montana,11778
Judith Basin,Montana,1951
Lake,Montana,29774
Lewis and Clark,Montana,67077
Liberty,Montana,2280
Lincoln,Montana,19358
McCone,Montana,1630
Madison,Montana,8218
Meagher,Montana,1968
Mineral,Montana,4211
Missoula,Montana,115983
Musselshell,Montana,4807
Park,Montana,16246
Petroleum,Montana,432
Phillips,Montana,4124
Pondera,Montana,6044
Powder River,Montana,1619
Powell,Montana,6861
Prairie,Montana,1342
Ravalli,Montana,41902
Richland,Montana,11360
Roosevelt,Montana,11228
Rosebud,Montana,9250
Sanders,Montana,11521
Sheridan,Montana,3574
Silver Bow,Montana,34814
Stillwater,Montana,9410
Sweet Grass,Montana,3653
Teton,Montana,6080
Toole,Montana,4976
Treasure,Montana,777
Valley,Montana,7532
Wheatland,Montana,2149
Wibaux,Montana,1175
Yellowstone,Montana,157816
Adams,Nebraska,31583
Antelope,Nebraska,6372
Arthur,Nebraska,418
Banner,Nebraska,696
Blaine,Nebraska,480
Boone,Nebraska,5313
Box Butte,Nebraska,11089
Boyd,Nebraska,2042
Brown,Nebraska,2988
Buffalo,Nebraska,49030
Burt,Nebraska,6528
Butler,Nebraska,8067
Cass,Nebraska,25702
Cedar,Nebraska,8523
Chase,Nebraska,3734
Cherry,Nebraska,5790
Cheyenne,Nebraska,9852
Clay,Nebraska,6232
Colfax,Nebraska,10760
Cuming,Nebraska,8991
Custer,Nebraska,10830
Dakota,Nebraska,20317
Dawes,Nebraska,8896
Dawson,Nebraska,23804
Deuel,Nebraska,1894
Dixon,Nebraska,5746
Dodge,Nebraska,36683
Douglas,Nebraska,554992
Dundy,Nebraska,2023
Fillmore,Nebraska,5574
Franklin,Nebraska,3006
Frontier,Nebraska,2609
Furnas,Nebraska,4786
Gage,Nebraska,21595
Garden,Nebraska,1860
Garfield,Nebraska,1975
Gosper,Nebraska,2015
Grant,Nebraska,718
Greeley,Nebraska,2410
Hall,Nebraska,61343
Hamilton,Nebraska,9178
Harlan,Nebraska,3438
Hayes,Nebraska,943
Hitchcock,Nebraska,2843
Holt,Nebraska,10245
Hooker,Nebraska,691
Howard,Nebraska,6405
Jefferson,Nebraska,7188
Johnson,Nebraska,5197
Kearney,Nebraska,6552
Keith,Nebraska,8099
Keya Paha,Nebraska,792
Kimball,Nebraska,3667
Knox,Nebraska,8460
Lancaster,Nebraska,310094
Lincoln,Nebraska,35433
Logan,Nebraska,886
Loup,Nebraska,585
McPherson,Nebraska,454
Madison,Nebraska,35164
Merrick,Nebraska,7803
Morrill,Nebraska,4841
Nance,Nebraska,3554
Nemaha,Nebraska,7004
Nuckolls,Nebraska,4275
Otoe,Nebraska,15896
Pawnee,Nebraska,2676
Perkins,Nebraska,2907
Phelps,Nebraska,9120
Pierce,Nebraska,7157
Platte,Nebraska,33063
Polk,Nebraska,5255
Red Willow,Nebraska,10806
Richardson,Nebraska,8009
Rock,Nebraska,1350
Saline,Nebraska,14288
Sarpy,Nebraska,178351
Saunders,Nebraska,21024
Scotts Bluff,Nebraska,36255
Seward,Nebraska,17127
Sheridan,Nebraska,5234
Sherman,Nebraska,3042
Sioux,Nebraska,1266
Stanton,Nebraska,5992
Thayer,Nebraska,5098
Thomas,Nebraska,645
Thurston,Nebraska,7140
Valley,Nebraska,4224
Washington,Nebraska,20219
Wayne,Nebraska,9367
Webster,Nebraska,3571
Wheeler,Nebraska,822
York,Nebraska,13799
Churchill,Nevada,24010
Clark,Nevada,2141574
Douglas,Nevada,47828
Elko,Nevada,52252
Esmeralda,Nevada,981
Eureka,Nevada,1830
Humboldt,Nevada,16904
Lander,Nevada,5746
Lincoln,Nevada,5174
Lyon,Nevada,53155
Mineral,Nevada,4448
Nye,Nevada,43705
Pershing,Nevada,6611
Storey,Nevada,3941
Washoe,Nevada,450486
White Pine,Nevada,9737
Carson City,Nevada,54467
Belknap,New Hampshire,60640
Carroll,New Hampshire,47840
Cheshire,New Hampshire,76263
Coos,New Hampshire,32038
Grafton,New Hampshire,89811
Hillsborough,New Hampshire,411087
Merrimack,New Hampshire,149452
Rockingham,New Hampshire,305129
Strafford,New Hampshire,128237
Sullivan,New Hampshire,43125
Atlantic,New Jersey,268539
Bergen,New Jersey,929999
Burlington,New Jersey,446367
Camden,New Jersey,507367
Cape May,New Jersey,93705
Cumberland,New Jersey,153400
Essex,New Jersey,793555
Gloucester,New Jersey,290852
Hudson,New Jersey,668631
Hunterdon,New Jersey,125051
Mercer,New Jersey,368762
Middlesex,New Jersey,826698
Monmouth,New Jersey,623387
Morris,New Jersey,494383
Ocean,New Jersey,591939
Passaic,New Jersey,504041
Salem,New Jersey,63336
Somerset,New Jersey,330176
Sussex,New Jersey,142298
Union,New Jersey,553066
Warren,New Jersey,106293
Bernalillo,New Mexico,677692
Catron,New Mexico,3539
Chaves,New Mexico,65459
Cibola,New Mexico,26978
Colfax,New Mexico,12353
Curry,New Mexico,50199
De Baca,New Mexico,2060
Dona Ana,New Mexico,215338
Eddy,New Mexico,57437
Grant,New Mexico,28061
Guadalupe,New Mexico,4382
Harding,New Mexico,459
Hidalgo,New Mexico,4371
Lea,New Mexico,70126
Lincoln,New Mexico,19482
Los Alamos,New Mexico,18356
Luna,New Mexico,24264
McKinley,New Mexico,72849
Mora,New Mexico,4563
Otero,New Mexico,65745
Quay,New Mexico,8373
Rio Arriba,New Mexico,39307
Roosevelt,New Mexico,19117
Sandoval,New Mexico,140769
San Juan,New Mexico,127455
San Miguel,New Mexico,28034
Santa Fe,New Mexico,148917
Sierra,New Mexico,11135
Socorro,New Mexico,17000
Taos,New Mexico,32888
Torrance,New Mexico,15595
Union,New Mexico,4175
Valencia,New Mexico,75956
Albany,New York,307426
Allegany,New York,47025
Bronx,New York,1437872
Broome,New York,194402
Cattaraugus,New York,77686
Cayuga,New York,77868
Chautauqua,New York,129656
Chemung,New York,85740
Chenango,New York,48348
Clinton,New York,80794
Columbia,New York,60919
Cortland,New York,48123
Delaware,New York,45502
Dutchess,New York,293894
Erie,New York,919866
Essex,New York,37751
Franklin,New York,50692
Fulton,New York,53743
Genesee,New York,58112
Greene,New York,47617
Hamilton,New York,4575
Herkimer,New York,62505
Jefferson,New York,114448
Kings,New York,2600747
Lewis,New York,26719
Livingston,New York,63907
Madison,New York,71359
Monroe,New York,744248
Montgomery,New York,49426
Nassau,New York,1356564
New York,New York,1632480
Niagara,New York,211704
Oneida,New York,230782
Onondaga,New York,464242
Ontario,New York,109472
Orange,New York,378227
Orleans,New York,41175
Oswego,New York,119104
Otsego,New York,60244
Putnam,New York,99070
Queens,New York,2298513
Rensselaer,New York,159431
Richmond,New York,474101
Rockland,New York,323686
St. Lawrence,New York,109558
Saratoga,New York,227377
Schenectady,New York,154883
Schoharie,New York,31364
Schuyler,New York,17992
Seneca,New York,34612
Steuben,New York,96927
Suffolk,New York,1487901
Sullivan,New York,75211
Tioga,New York,49045
Tompkins,New York,102962
Ulster,New York,179303
Warren,New York,64480
Washington,New York,61828
Wayne,New York,90856
Westchester,New York,968815
Wyoming,New York,40565
Yates,New York,25009
Alamance,North Carolina,160576
Alexander,North Carolina,37119
Alleghany,North Carolina,10973
Anson,North Carolina,25306
Ashe,North Carolina,26786
Avery,North Carolina,17501
Beaufort,North Carolina,47243
Bertie,North Carolina,19644
Bladen,North Carolina,33778
Brunswick,North Carolina,126860
Buncombe,North Carolina,254474
Burke,North Carolina,89712
Cabarrus,North Carolina,201448
Caldwell,North Carolina,81779
Camden,North Carolina,10447
Carteret,North Carolina,68920
Caswell,North Carolina,22746
Catawba,North Carolina,156729
Chatham,North Carolina,69791
Cherokee,North Carolina,27668
Chowan,North Carolina,14205
Clay,North Carolina,10813
Cleveland,North Carolina,97159
Columbus,North Carolina,56293
Craven,North Carolina,103082
Cumberland,North Carolina,332106
Currituck,North Carolina,25796
Dare,North Carolina,35741
Davidson,North Carolina,164664
Davie,North Carolina,41991
Duplin,North Carolina,59062
Durham,North Carolina,306457
Edgecombe,North Carolina,53332
Forsyth,North Carolina,371573
Franklin,North Carolina,64902
Gaston,North Carolina,216585
Gates,North Carolina,11563
Graham,North Carolina,8557
Granville,North Carolina,58874
Greene,North Carolina,21008
Guilford,North Carolina,523582
Halifax,North Carolina,51737
Harnett,North Carolina,130361
Haywood,North Carolina,60433
Henderson,North Carolina,113625
Hertford,North Carolina,24153
Hoke,North Carolina,53239
Hyde,North Carolina,5393
Iredell,North Carolina,172525
Jackson,North Carolina,42256
Johnston,North Carolina,191172
Jones,North Carolina,9695
Lee,North Carolina,60125
Lenoir,North Carolina,57227
Lincoln,North Carolina,81441
McDowell,North Carolina,45109
Macon,North Carolina,34410
Madison,North Carolina,21405
Martin,North Carolina,23054
Mecklenburg,North Carolina,1054314
Mitchell,North Carolina,15040
Montgomery,North Carolina,27338
Moore,North Carolina,95629
Nash,North Carolina,94003
New Hanover,North Carolina,224231
Northampton,North Carolina,20186
Onslow,North Carolina,193912
Orange,North Carolina,142938
Pamlico,North Carolina,12742
Pasquotank,North Carolina,39479
Pender,North Carolina,59020
Perquimans,North Carolina,13459
Person,North Carolina,39305
Pitt,North Carolina,177372
Polk,North Carolina,20458
Randolph,North Carolina,142958
Richmond,North Carolina,45189
Robeson,North Carolina,133442
Rockingham,North Carolina,91270
Rowan,North Carolina,139605
Rutherford,North Carolina,66532
Sampson,North Carolina,63561
Scotland,North Carolina,35262
Stanly,North Carolina,61114
Stokes,North Carolina,45905
Surry,North Carolina,72099
Swain,North Carolina,14254
Transylvania,North Carolina,33513
Tyrrell,North Carolina,4119
Union,North Carolina,226694
Vance,North Carolina,44482
Wake,North Carolina,1046558
Warren,North Carolina,20033
Washington,North Carolina,12156
Watauga,North Carolina,54117
Wayne,North Carolina,124002
Wilkes,North Carolina,68460
Wilson,North Carolina,81336
Yadkin,North Carolina,37665
Yancey,North Carolina,17667
Adams,North Dakota,2351
Barnes,North Dakota,10836
Benson,North Dakota,6886
Billings,North Dakota,946
Bottineau,North Dakota,6589
Bowman,North Dakota,3195
Burke,North Dakota,2213
Burleigh,North Dakota,93737
Cass,North Dakota,174202
Cavalier,North Dakota,3824
Dickey,North Dakota,4970
Divide,North Dakota,2369
Dunn,North Dakota,4387
Eddy,North Dakota,2313
Emmons,North Dakota,3352
Foster,North Dakota,3290
Golden Valley,North Dakota,1882
Grand Forks,North Dakota,70400
Grant,North Dakota,2380
Griggs,North Dakota,2266
Hettinger,North Dakota,2576
Kidder,North Dakota,2460
LaMoure,North Dakota,4100
Logan,North Dakota,1927
McHenry,North Dakota,5927
McIntosh,North Dakota,2654
McKenzie,North Dakota,12536
McLean,North Dakota,9608
Mercer,North Dakota,8570
Morton,North Dakota,30544
Mountrail,North Dakota,10152
Nelson,North Dakota,2920
Oliver,North Dakota,1837
Pembina,North Dakota,7016
Pierce,North Dakota,4210
Ramsey,North Dakota,11557
Ransom,North Dakota,5361
Renville,North Dakota,2495
Richland,North Dakota,16288
Rolette,North Dakota,14603
Sargent,North Dakota,3883
Sheridan,North Dakota,1405
Sioux,North Dakota,4413
Slope,North Dakota,704
Stark,North Dakota,30876
Steele,North Dakota,1910
Stutsman,North Dakota,21064
Towner,North Dakota,2246
Traill,North Dakota,8019
Walsh,North Dakota,10802
Ward,North Dakota,69034
Wells,North Dakota,4055
Williams,North Dakota,34061
Adams,Ohio,27878
Allen,Ohio,103642
Ashland,Ohio,53477
Ashtabula,Ohio,98136
Athens,Ohio,65936
Auglaize,Ohio,45784
Belmont,Ohio,68472
Brown,Ohio,43679
Butler,Ohio,378294
Carroll,Ohio,27578
Champaign,Ohio,38864
Clark,Ohio,135198
Clermont,Ohio,203216
Clinton,Ohio,41896
Columbiana,Ohio,104003
Coshocton,Ohio,36574
Crawford,Ohio,42021
Cuyahoga,Ohio,1253783
Darke,Ohio,51734
Defiance,Ohio,38279
Delaware,Ohio,197008
Erie,Ohio,75136
Fairfield,Ohio,152910
Fayette,Ohio,28645
Franklin,Ohio,1275333
Fulton,Ohio,42305
Gallia,Ohio,30195
Geauga,Ohio,93961
Greene,Ohio,165811
Guernsey,Ohio,39274
Hamilton,Ohio,812037
Hancock,Ohio,75690
Hardin,Ohio,31542
Harrison,Ohio,15307
Henry,Ohio,27316
Highland,Ohio,43007
Hocking,Ohio,28495
Holmes,Ohio,43859
Huron,Ohio,58457
